Código,"Nome da Empresa","Setor de Atuação","Receita Total"
329,"Genworth Financial, Inc.",Finanças,8369
330,"Live Nation Entertainment, Inc.",Midia,8355
331,"Veritiv Corp",Atacadista,8327
332,"News Corporation",Midia,8319
333,"Crown Holdings, Inc.",Materiais,8284
334,"Global Partners LP",Atacadista,8240
335,"PVH Corp.",Roupas,8203
336,"Level 3 Communications, Inc.",Telecomunicações,8172
337,"Navistar International Corporation",Industrial,8111
338,"Univar Inc.",Atacadista,8074
339,"Campbell Soup Company","Alimentos, Bebidas e Tabaco",7961
340,"Dick's Sporting Goods, Inc.",Varejo,7922
341,"Weyerhaeuser Company",Materiais,7902
342,"Mutual of Omaha Insurance Company",Finanças,7899
343,"Chesapeake Energy Corporation",Energia,7872
344,"Anadarko Petroleum Corporation",Energia,7869
345,"The Interpublic Group of Companies, Inc.","Prestação de Serviços",0
346,"The J.M. Smucker Company","Alimentos, Bebidas e Tabaco",7811
347,"Steel Dynamics, Inc.",Materiais,7777
348,"Foot Locker, Inc.",Varejo,7766
349,"Western Refining, Inc.",Energia,7743
350,"SpartanNash Company",Atacadista,7735
351,"Dean Foods Company","Alimentos, Bebidas e Tabaco",7710
352,"Zimmer Biomet Holdings, Inc.","Assistência médica",7684
353,"PulteGroup, Inc.","Engenharia e Construção",7669
354,"W.R. Berkley Corporation",Finanças,7654
355,"Quanta Services, Inc.","Engenharia e Construção",7651
356,"EOG Resources, Inc.",Energia,7651
357,"The Charles Schwab Corporation",Finanças,7644
358,"Eversource Energy",Energia,7639
359,"Anixter International Inc.",Atacadista,7625
360,"EMCOR Group, Inc.","Engenharia e Construção",7552
361,"Assurant, Inc.",Finanças,7532
362,"CenterPoint Energy, Inc.",Energia,7528
363,"Harris Corporation",Tecnologia,7527
364,"HD Supply Holdings, Inc.",Atacadista,7524
365,"PPL Corporation",Energia,7517
366,"Quest Diagnostics Incorporated","Assistência médica",7515
367,"The Williams Companies, Inc.",Energia,7499
368,"WEC Energy Group, Inc.",Energia,7472
369,"The Hershey Company","Alimentos, Bebidas e Tabaco",7440
370,"AGCO Corporation",Industrial,7411
371,"Ralph Lauren Corporation",Roupas,7405
372,"Masco Corporation","Produtos para o lar",7357
373,"WESCO International, Inc.",Atacadista,7336
374,"LifePoint Health, Inc.","Assistência médica",7274
375,"National Oilwell Varco, Inc.",Energia,7251
376,"Kindred Healthcare, Inc.","Assistência médica",7227
377,"The Mosaic Company","Produtos químicos",7163
378,"Alliance Data Systems Corporation","Prestação de Serviços",7138
379,"Computer Sciences Corporation",Tecnologia,7106
380,"Huntington Ingalls Industries, Inc.","Aeroespacial e Defesa",7068
381,"Leidos Holdings, Inc.",Tecnologia,7043
382,"Erie Insurance Group",Finanças,7016
383,"Tesla, Inc.","Veículos motorizados",7000
384,"Ascena Retail Group, Inc.",Varejo,6995
385,"Darden Restaurants, Inc.","Hotéis, Restaurantes e Lazer",6934
386,"Harman International Industries, Incorporated",Industrial,6912
387,"NVIDIA Corporation",Tecnologia,6910
388,"R.R. Donnelley & Sons Company",Midia,6896
389,"Fifth Third Bancorp",Finanças,6889
390,"Quintiles IMS Holdings, Inc.","Assistência médica",6878
391,"Jones Lang LaSalle Incorporated",Finanças,6804
392,"Dover Corporation",Industrial,6794
393,"Spirit AeroSystems Holdings, Inc.","Aeroespacial e Defesa",6793
394,"Ryder System, Inc.",Transporte,6787
395,"A-Mark Precious Metals, Inc.",Materiais,6784
396,"Tractor Supply Company",Varejo,6780
397,"Sealed Air Corporation",Materiais,6778
398,"Auto-Owners Insurance Group",Finanças,6775
399,"Yum China Holdings, Inc.","Hotéis, Restaurantes e Lazer",6752
400,"Calpine Corporation",Energia,6716
401,"Owens-Illinois, Inc.",Materiais,6702
402,"Targa Resources Corp.",Energia,6691
403,"The Jones Financial Companies, L.L.L.P.",Finanças,6632
404,"JetBlue Airways Corporation",Transporte,6632
405,"Franklin Resources, Inc.",Finanças,6618
406,"Activision Blizzard, Inc.",Tecnologia,6608
407,"J.B. Hunt Transport Services, Inc.",Transporte,6556
408,"Constellation Brands, Inc.","Alimentos, Bebidas e Tabaco",6548
409,"NCR Corporation",Tecnologia,6543
410,"Asbury Automotive Group, Inc.",Varejo,6528
411,"American Financial Group, Inc.",Finanças,6498
412,"Discovery Communications, Inc.",Midia,6497
413,"Berry Global Group, Inc.",Materiais,6489
414,"Sanmina Corporation",Tecnologia,6481
415,"CalAtlantic Group, Inc.","Engenharia e Construção",6477
416,"Dr Pepper Snapple Group, Inc.","Alimentos, Bebidas e Tabaco",0
417,"Dillard's, Inc.",Varejo,6418
418,"HRG Group, Inc.","Produtos para o lar",6403
419,"CMS Energy Corporation",Energia,6399
420,"Graybar Electric Company, Inc.",Atacadista,6385
421,"Builders FirstSource, Inc.",Materiais,6367
422,"Yum! Brands, Inc.","Hotéis, Restaurantes e Lazer",6366
423,"Casey's General Stores, Inc.",Varejo,6304
424,"Amphenol Corporation",Tecnologia,6286
425,"Oshkosh Corporation",Industrial,6279
426,"iHeartMedia, Inc.",Midia,6274
427,"TreeHouse Foods, Inc.","Alimentos, Bebidas e Tabaco",6175
428,"Alleghany Corporation",Finanças,6131
429,"Expeditors International of Washington, Inc.",Transporte,6098
430,"Avery Dennison Corporation",Materiais,6087
431,"Ameren Corporation",Energia,6076
432,"Hanesbrands Inc.",Roupas,6063
433,"Motorola Solutions, Inc.",Tecnologia,6038
434,"St. Jude Medical, Inc.","Assistência médica",6004
435,"Harley-Davidson, Inc.",Transporte,5997
436,"Regions Financial Corporation",Finanças,5967
437,"Intercontinental Exchange, Inc.",Finanças,5958
438,"Alaska Air Group, Inc.",Transporte,5931
439,"Old Republic International Corporation",Finanças,5901
440,"Lam Research Corporation",Tecnologia,5886
441,"AK Steel Holding Corporation",Materiais,5883
442,"Rockwell Automation, Inc.",Industrial,5880
443,"Adobe Systems Incorporated",Tecnologia,5854
444,"Avon Products, Inc.","Produtos para o lar",5853
445,"Terex Corporation",Industrial,5841
446,"NVR, Inc.","Engenharia e Construção",5835
447,"Dana Incorporated","Veículos motorizados",5826
448,"Realogy Holdings Corp.",Finanças,5810
449,"American Tower Corporation",Telecomunicações,5786
450,"Packaging Corporation of America",Materiais,5779
451,"Citizens Financial Group, Inc.",Finanças,5763
452,"United Rentals, Inc.","Prestação de Serviços",5762
453,"The Clorox Company","Produtos para o lar",5761
454,"Genesis Healthcare, Inc.","Assistência médica",5733
455,"M&T Bank Corporation",Finanças,5722
456,"Ingredion Incorporated","Alimentos, Bebidas e Tabaco",5704
457,"UGI Corporation",Energia,5686
458,"Owens Corning",Materiais,5677
459,"S&P Global Inc.","Prestação de Serviços",5661
460,"Markel Corporation",Finanças,5612
461,"Wyndham Worldwide Corporation","Hotéis, Restaurantes e Lazer",5599
462,"Arthur J. Gallagher & Co.",Finanças,5595
463,"Burlington Stores, Inc.",Varejo,5591
464,"First American Financial Corporation",Finanças,5576
465,"Symantec Corporation",Tecnologia,5568
466,"Patterson Companies, Inc.",Atacadista,5555
467,"Olin Corporation","Produtos químicos",5551
468,"NetApp, Inc.",Tecnologia,5546
469,"Raymond James Financial, Inc.",Finanças,5520
470,"TravelCenters of America LLC",Varejo,5511
471,"Fiserv, Inc.","Prestação de Serviços",5505
472,"Host Hotels & Resorts, Inc.",Finanças,5488
473,"Insight Enterprises, Inc.",Atacadista,5486
474,"Mattel, Inc.","Produtos para o lar",5457
475,"AmTrust Financial Services, Inc.",Finanças,5451
476,"Cincinnati Financial Corporation",Finanças,5449
477,"Simon Property Group, Inc.",Finanças,5435
478,"The Western Union Company","Prestação de Serviços",5423
479,KeyCorp,Finanças,5422
480,"Delek US Holdings, Inc.",Energia,5414
481,"Booz Allen Hamilton Holding Corp.",Tecnologia,5406
482,"The Chemours Company","Produtos químicos",5400
483,"Western & Southern Mutual Holding Company",Finanças,5398
484,"Celanese Corporation","Produtos químicos",5389
485,"Windstream Holdings, Inc.",Telecomunicações,5387
486,"Seaboard Corporation","Alimentos, Bebidas e Tabaco",5379
487,"Essendant Inc.",Atacadista,5369
488,"Apache Corporation",Energia,5354
489,"Airgas, Inc.",Atacadista,5314
490,"Kelly Services, Inc.","Prestação de Serviços",5277
491,"Liberty Media Corporation",Midia,5276
492,"Rockwell Collins, Inc.","Aeroespacial e Defesa",5259
493,"Robert Half International Inc.","Prestação de Serviços",5250
494,"CH2M HILL Companies, Ltd.","Engenharia e Construção",5236
495,"Big Lots, Inc.",Varejo,5200
496,"The Michaels Companies, Inc.",Varejo,5197
497,"Toll Brothers, Inc.","Engenharia e Construção",5170
498,"Yahoo! Inc.",Tecnologia,5169
499,"Vistra Energy Corp.",Energia,5164
500,"ABM Industries Incorporated","Prestação de Serviços",5145
501,"IBM Industries Incorporated","Prestação de Serviços",5145
